mel,label
"[[ 0.19594684  0.06950529 -0.11548888 ... -0.49414626 -0.5492877
  -0.59182703]
 [ 0.32846552  0.47249243 -0.12598303 ... -0.4964104  -0.59874225
  -0.7782883 ]
 [ 0.42472473  0.6404383  -0.13320798 ... -0.4947698  -0.65656006
  -1.6373988 ]
 ...
 [-1.1742042  -0.56814533 -0.88543695 ... -1.1103739  -0.9566618
  -1.3055259 ]
 [-1.3812231  -0.9734254  -1.3864554  ... -1.5589275  -1.44523
  -1.3809705 ]
 [-1.7457865  -1.7457865  -1.7457865  ... -1.7457865  -1.7457865
  -1.7457865 ]]",1
"[[ 0.6767129  -0.03250828  0.32178566 ... -0.52172923  0.17875744
   0.17015415]
 [ 0.8204468  -0.00490437  0.19853815 ... -0.03141016  0.4105012
   0.22118555]
 [ 0.91923815  0.02451789 -0.04542596 ...  0.13832635  0.53900737
   0.26885125]
 ...
 [-0.17549488 -0.901707   -1.0765078  ... -0.21256448 -0.47901183
  -0.3824724 ]
 [-0.30079877 -1.0765078  -1.0765078  ... -0.6949708  -0.6526659
  -0.6404229 ]
 [-0.7122246  -1.0765078  -1.0765078  ... -1.0765078  -1.0765078
  -1.0765078 ]]",1
"[[ 1.3322624e+00  1.5413145e+00  1.5188805e+00 ... -4.5769429e-01
  -4.5769429e-01 -4.5769429e-01]
 [ 1.4608516e+00  1.5154212e+00  1.5222913e+00 ... -4.5769429e-01
  -4.5769429e-01 -4.5769429e-01]
 [ 1.5547533e+00  1.4899589e+00  1.5296860e+00 ... -4.5769429e-01
  -4.5769429e-01 -4.5769429e-01]
 ...
 [ 6.3746661e-01  1.4020740e+00  5.1710719e-01 ... -4.5769429e-01
  -4.5769429e-01 -4.5769429e-01]
 [ 1.3607811e-03  5.4856968e-01  1.2050916e-01 ... -4.5769429e-01
  -4.5769429e-01 -4.5769429e-01]
 [-4.5769429e-01 -4.5769429e-01 -4.5769429e-01 ... -4.5769429e-01
  -4.5769429e-01 -4.5769429e-01]]",1
"[[-0.5743462 -0.5743462 -0.5743462 ... -0.5743462 -0.5743462 -0.5743462]
 [-0.5743462 -0.5743462 -0.3780255 ... -0.5743462 -0.5743462 -0.5743462]
 [-0.5743462 -0.5743462 -0.2508851 ... -0.5743462 -0.5743462 -0.5743462]
 ...
 [-0.5743462 -0.5743462 -0.5743462 ... -0.5743462 -0.5743462 -0.5743462]
 [-0.5743462 -0.5743462 -0.5743462 ... -0.5743462 -0.5743462 -0.5743462]
 [-0.5743462 -0.5743462 -0.5743462 ... -0.5743462 -0.5743462 -0.5743462]]",0
"[[-0.89320683 -0.8337285  -0.89320683 ... -0.89320683 -0.89320683
  -0.89320683]
 [-0.89320683 -0.89320683 -0.5083382  ... -0.89320683 -0.89320683
  -0.89320683]
 [-0.89320683 -0.89320683 -0.34782168 ... -0.89320683 -0.89320683
  -0.89320683]
 ...
 [-0.89320683 -0.89320683 -0.89320683 ... -0.89320683 -0.89320683
  -0.89320683]
 [-0.89320683 -0.89320683 -0.89320683 ... -0.89320683 -0.89320683
  -0.89320683]
 [-0.89320683 -0.89320683 -0.89320683 ... -0.89320683 -0.89320683
  -0.89320683]]",0
"[[ 0.31370726 -0.91248286 -1.5135736  ... -1.5135736  -0.75698113
  -0.96145415]
 [ 0.33002445 -0.97267485 -1.3524475  ... -1.114478   -0.6999283
  -0.8519307 ]
 [ 0.34902933 -1.0530483  -1.2013775  ... -0.9651847  -0.6494797
  -0.7721952 ]
 ...
 [-0.17950907 -0.9606669  -1.4291012  ...  0.26295966 -0.35877985
  -1.5135736 ]
 [-0.283238   -1.5135736  -1.5135736  ... -0.2086161  -0.75675493
  -1.5135736 ]
 [-0.57125473 -1.5135736  -1.5135736  ... -0.5145953  -1.4434223
  -1.5135736 ]]",1
"[[-0.5123229 -0.5123229 -0.5123229 ... -0.5123229 -0.5123229 -0.5123229]
 [-0.5123229 -0.5123229 -0.5123229 ... -0.5123229 -0.5123229 -0.5123229]
 [-0.5123229 -0.5123229 -0.5123229 ... -0.5123229 -0.5123229 -0.5123229]
 ...
 [-0.5123229 -0.5123229 -0.5123229 ... -0.5123229 -0.5123229 -0.5123229]
 [-0.5123229 -0.5123229 -0.5123229 ... -0.5123229 -0.5123229 -0.5123229]
 [-0.5123229 -0.5123229 -0.5123229 ... -0.5123229 -0.5123229 -0.5123229]]",0
"[[ 0.77324194 -0.32413507 -0.7038517  ... -0.12973966 -1.483251
  -1.3430134 ]
 [ 0.8268999  -0.13298656 -0.8308049  ...  0.24336086 -0.16548325
  -0.87206525]
 [ 0.87602985 -0.01847678 -1.1023537  ...  0.3962515   0.01910219
  -0.7084415 ]
 ...
 [-0.08897518 -0.9796826  -1.5470779  ... -1.5563067  -1.4119267
  -1.5080444 ]
 [-0.23423702 -1.3839906  -1.6732653  ... -1.6732653  -1.6732653
  -1.6732653 ]
 [-1.4590507  -1.6732653  -1.6732653  ... -1.6732653  -1.6732653
  -1.6732653 ]]",1
"[[-0.3494442  -0.2286299   0.4611553  ...  0.4505379   0.5985868
   0.36434525]
 [ 0.43246704 -0.08781664  0.3179666  ...  0.3125994   0.45963705
   0.23668118]
 [ 0.6117003   0.00844304 -0.05224156 ... -0.02052085  0.11983467
  -0.0380174 ]
 ...
 [-0.6029988  -0.43089682  0.1754792  ... -1.0281366  -1.4451076
  -1.6273123 ]
 [-0.9634784  -0.76268905 -0.00822569 ... -1.3199947  -1.6273123
  -1.6273123 ]
 [-1.6273123  -1.6273123  -1.0595303  ... -1.6273123  -1.6273123
  -1.6273123 ]]",1
"[[-0.9409122 -0.9409122 -0.9409122 ... -0.9409122 -0.9409122 -0.9409122]
 [-0.9409122 -0.9409122 -0.9409122 ... -0.9409122 -0.9409122 -0.9409122]
 [-0.9409122 -0.9409122 -0.9409122 ... -0.9409122 -0.9409122 -0.9409122]
 ...
 [-0.9409122 -0.9409122 -0.9409122 ... -0.9409122 -0.9409122 -0.9409122]
 [-0.9409122 -0.9409122 -0.9409122 ... -0.9409122 -0.9409122 -0.9409122]
 [-0.9409122 -0.9409122 -0.9409122 ... -0.9409122 -0.9409122 -0.9409122]]",0
